"category","product_id","total_revenue"
"cine_photo","1f5f0f003ce8595ad88fb215ec1409e6","1170.39"
"cine_photo","56ebd551a33ae8e9955d1f8a4c37ef52","922.69"
"cine_photo","e988092a8afe5d9393a5c3a7ca17691c","773.77"
"cine_photo","1bce8df66884f0841be155ae1f645d46","723.00"
"cine_photo","88a1223b29fac4c3abef8d1369dbbaea","676.01"
"computers","d6160fb7873f184099d9bc95e30376af","50326.18"
"computers","588531f8ec37e7d5ff5b7b22ea0488f8","29080.21"
"computers","a5215a7a9f46c4185b12f38e9ddf2abc","22411.02"
"computers","bc4cd4da98dd128c39bf0b8c2674032f","22184.44"
"computers","a04087ab6a96ffa041f8a2701a72b616","17390.04"
"computers_accessories","d1c427060a0f73f6b889a5c7c61f2ac4","60976.03"
"computers_accessories","3dd2a17168ec895c781a9191c1e95ad7","48212.22"
"computers_accessories","e53e557d5a159f5aa2c5e995dfdf244b","18409.72"
"computers_accessories","d5991653e037ccb7af6ed7d94246b249","18070.61"
"computers_accessories","470433f95ba906e17efac3fce39e9ffd","15200.56"
"consoles_games","fb01a5fc09b9b9563c2ee41a22f07d54","17502.96"
"consoles_games","cce3ce6484896041ae3dafdd4308a39c","9636.42"
"consoles_games","f39a8b27ce90ac582103bf36f09690dd","8322.03"
"consoles_games","0aabfb375647d9738ad0f7b4ea3653b1","5474.00"
"consoles_games","e74384c9363e768848854356a37c73f4","4884.21"
"construction_tools_construction","8a12c0e223d9dbd49ccfcd2ad25d1b30","10142.49"
"construction_tools_construction","638bbb2a5e4f360b71f332ddfebfd672","5760.96"
"construction_tools_construction","a319b66ab6cabbb2810942860c1c8a3c","4665.80"
"construction_tools_construction","71f2ce4ae5dfdd3b55a51c7a2d3c4da8","4270.00"
"construction_tools_construction","4cce3fa9fee9eb2361e0b9bd32516958","4203.47"
"construction_tools_lights","a02d0123079f4ae96001ba2010d1a2df","16238.50"
"construction_tools_lights","349ce46a0e2e20054aa9d80c48af8816","7133.43"
"construction_tools_lights","216bb0e0cd43ffd832e0973d35e0377e","2123.92"
"construction_tools_lights","26b2a480ced2900a62bb9431133e95aa","1740.65"
"construction_tools_lights","5a75c30c323b0ae56499ef163504648a","1469.78"
"construction_tools_safety","6054d161235b97a4aaccea2a086d30b8","3155.82"
"construction_tools_safety","82c51c3938503a4ddc096fbed86428d6","2672.82"
"construction_tools_safety","b7550710491181180a97295a6b9faded","2133.69"
"construction_tools_safety","7d490fb7ec6eac63302590beef157c10","2039.79"
"construction_tools_safety","6f4f2bb136fd2d8e8229355d8fec6b67","1992.79"
"cool_stuff","5f504b3a1c75b73d6151be81eb05bdc9","41725.81"
"cool_stuff","165f86fe8b799a708a20ee4ba125c289","20291.35"
"cool_stuff","601a360bd2a916ecef0e88de72a6531a","17402.18"
"cool_stuff","ee406bf28024d97771c4b1e8b7e8e219","14436.78"
"cool_stuff","c6dd917a0be2a704582055949915ab32","13824.96"
"costruction_tools_garden","c8194120cffeb4eea08d08e91ed1d284","2516.96"
"costruction_tools_garden","42749c525c90994bd3d4c74edf047172","2160.00"
"costruction_tools_garden","71a7800a633691de8ecdd17463335e2e","1936.93"
"costruction_tools_garden","4ce6c1b5cfe26c9f980438fc1c810f8d","1750.37"
"costruction_tools_garden","3a85491e291016cb452b9b8e78c30ddb","1718.42"
